"NATMON_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"26420","Inbound internationally mobile students from Africa, both sexes (number)","UKR","Ukraine","2015","2015",10014,,
"26420","Inbound internationally mobile students from Africa, both sexes (number)","UKR","Ukraine","2016","2016",10692,,
"26420","Inbound internationally mobile students from Africa, both sexes (number)","UKR","Ukraine","2017","2017",11663,,
"26420","Inbound internationally mobile students from Africa, both sexes (number)","UKR","Ukraine","2018","2018",13154,,
"26420","Inbound internationally mobile students from Africa, both sexes (number)","UKR","Ukraine","2019","2019",15544,,
"26420","Inbound internationally mobile students from Africa, both sexes (number)","UKR","Ukraine","2020","2020",17379,,
"26519","Inbound internationally mobile students from Asia, both sexes (number)","UKR","Ukraine","2015","2015",42044,,
"26519","Inbound internationally mobile students from Asia, both sexes (number)","UKR","Ukraine","2016","2016",38546,,
"26519","Inbound internationally mobile students from Asia, both sexes (number)","UKR","Ukraine","2017","2017",35838,,
"26519","Inbound internationally mobile students from Asia, both sexes (number)","UKR","Ukraine","2018","2018",32541,,
"26519","Inbound internationally mobile students from Asia, both sexes (number)","UKR","Ukraine","2019","2019",35772,,
"26519","Inbound internationally mobile students from Asia, both sexes (number)","UKR","Ukraine","2020","2020",39952,,
"26571","Inbound internationally mobile students from Europe, both sexes (number)","UKR","Ukraine","2015","2015",4127,,
"26571","Inbound internationally mobile students from Europe, both sexes (number)","UKR","Ukraine","2016","2016",3543,,
"26571","Inbound internationally mobile students from Europe, both sexes (number)","UKR","Ukraine","2017","2017",3855,,
"26571","Inbound internationally mobile students from Europe, both sexes (number)","UKR","Ukraine","2018","2018",3109,,
"26571","Inbound internationally mobile students from Europe, both sexes (number)","UKR","Ukraine","2019","2019",3110,,
"26571","Inbound internationally mobile students from Europe, both sexes (number)","UKR","Ukraine","2020","2020",2737,,
"26631","Inbound internationally mobile students from unknown continents, both sexes (number)","UKR","Ukraine","2015","2015",,"n","Magnitude nil or negligible"
"26631","Inbound internationally mobile students from unknown continents, both sexes (number)","UKR","Ukraine","2016","2016",654,,
"26631","Inbound internationally mobile students from unknown continents, both sexes (number)","UKR","Ukraine","2017","2017",641,,
"26631","Inbound internationally mobile students from unknown continents, both sexes (number)","UKR","Ukraine","2018","2018",3,,
"26631","Inbound internationally mobile students from unknown continents, both sexes (number)","UKR","Ukraine","2019","2019",7,,
"26631","Inbound internationally mobile students from unknown continents, both sexes (number)","UKR","Ukraine","2020","2020",5,,
"26648","Inbound internationally mobile students from North America, both sexes (number)","UKR","Ukraine","2015","2015",302,,
"26648","Inbound internationally mobile students from North America, both sexes (number)","UKR","Ukraine","2016","2016",294,,
"26648","Inbound internationally mobile students from North America, both sexes (number)","UKR","Ukraine","2017","2017",312,,
"26648","Inbound internationally mobile students from North America, both sexes (number)","UKR","Ukraine","2018","2018",299,,
"26648","Inbound internationally mobile students from North America, both sexes (number)","UKR","Ukraine","2019","2019",318,,
"26648","Inbound internationally mobile students from North America, both sexes (number)","UKR","Ukraine","2020","2020",345,,
"26638","Total inbound internationally mobile students, female (number)","UKR","Ukraine","2015","2015",32727,,
"26638","Total inbound internationally mobile students, female (number)","UKR","Ukraine","2016","2016",,"x","Data included elsewhere under another category"
"26638","Total inbound internationally mobile students, female (number)","UKR","Ukraine","2017","2017",,"x","Data included elsewhere under another category"
"26638","Total inbound internationally mobile students, female (number)","UKR","Ukraine","2018","2018",,"x","Data included elsewhere under another category"
"26638","Total inbound internationally mobile students, female (number)","UKR","Ukraine","2019","2019",,"x","Data included elsewhere under another category"
"26638","Total inbound internationally mobile students, female (number)","UKR","Ukraine","2020","2020",18122,,
"26616","Inbound internationally mobile students from Oceania, both sexes (number)","UKR","Ukraine","2015","2015",4,,
"26616","Inbound internationally mobile students from Oceania, both sexes (number)","UKR","Ukraine","2016","2016",2,,
"26616","Inbound internationally mobile students from Oceania, both sexes (number)","UKR","Ukraine","2017","2017",7,,
"26616","Inbound internationally mobile students from Oceania, both sexes (number)","UKR","Ukraine","2018","2018",6,,
"26616","Inbound internationally mobile students from Oceania, both sexes (number)","UKR","Ukraine","2019","2019",3,,
"26616","Inbound internationally mobile students from Oceania, both sexes (number)","UKR","Ukraine","2020","2020",17,,
"26637","Total inbound internationally mobile students, both sexes (number)","UKR","Ukraine","2015","2015",57583,,
"26637","Total inbound internationally mobile students, both sexes (number)","UKR","Ukraine","2016","2016",54144,,
"26637","Total inbound internationally mobile students, both sexes (number)","UKR","Ukraine","2017","2017",52768,,
"26637","Total inbound internationally mobile students, both sexes (number)","UKR","Ukraine","2018","2018",49632,,
"26637","Total inbound internationally mobile students, both sexes (number)","UKR","Ukraine","2019","2019",55333,,
"26637","Total inbound internationally mobile students, both sexes (number)","UKR","Ukraine","2020","2020",61026,,
"43188","Total inbound internationally mobile students, male (number)","UKR","Ukraine","2015","2015",24856,,
"43188","Total inbound internationally mobile students, male (number)","UKR","Ukraine","2016","2016",,"x","Data included elsewhere under another category"
"43188","Total inbound internationally mobile students, male (number)","UKR","Ukraine","2017","2017",,"x","Data included elsewhere under another category"
"43188","Total inbound internationally mobile students, male (number)","UKR","Ukraine","2018","2018",,"x","Data included elsewhere under another category"
"43188","Total inbound internationally mobile students, male (number)","UKR","Ukraine","2019","2019",,"x","Data included elsewhere under another category"
"43188","Total inbound internationally mobile students, male (number)","UKR","Ukraine","2020","2020",42904,,
