id,text
1507646236299513858,"RT @DiasporaRelief: Getting word of discrimination that blacks aren’t being allowed to board planes at the airport in Warsaw, Poland. Even…"
1507536259027247107,"RT @DiasporaRelief: Getting word of discrimination that blacks aren’t being allowed to board planes at the airport in Warsaw, Poland. Even…"
1507531887400701954,"RT @DiasporaRelief: Getting word of discrimination that blacks aren’t being allowed to board planes at the airport in Warsaw, Poland. Even…"
1507461674307100677,"RT @DiasporaRelief: Getting word of discrimination that blacks aren’t being allowed to board planes at the airport in Warsaw, Poland. Even…"
1507455907843952640,"RT @DiasporaRelief: Getting word of discrimination that blacks aren’t being allowed to board planes at the airport in Warsaw, Poland. Even…"
1507455812230426629,"RT @DiasporaRelief: Getting word of discrimination that blacks aren’t being allowed to board planes at the airport in Warsaw, Poland. Even…"
1507454532284035072,"RT @DiasporaRelief: Getting word of discrimination that blacks aren’t being allowed to board planes at the airport in Warsaw, Poland. Even…"
1507454324607123460,"RT @DiasporaRelief: Getting word of discrimination that blacks aren’t being allowed to board planes at the airport in Warsaw, Poland. Even…"
1507453713362870277,"RT @DiasporaRelief: Getting word of discrimination that blacks aren’t being allowed to board planes at the airport in Warsaw, Poland. Even…"
1507452922304638976,"RT @DiasporaRelief: Getting word of discrimination that blacks aren’t being allowed to board planes at the airport in Warsaw, Poland. Even…"
1507452648936464384,"RT @DiasporaRelief: Getting word of discrimination that blacks aren’t being allowed to board planes at the airport in Warsaw, Poland. Even…"
1507452525871779840,"RT @DiasporaRelief: Getting word of discrimination that blacks aren’t being allowed to board planes at the airport in Warsaw, Poland. Even…"
1507452462139166724,"Getting word of discrimination that blacks aren’t being allowed to board planes at the airport in Warsaw, Poland. Even with a confirmed flight ticket purchased. More info coming soon. #AfricansinPoland #AfricansinUkraine #NigeriansinUkraine #DiasporaRelief"
1507425734515638306,#Africa #African #AfricansinUkraine #africanteen #africanprostitute #Africanbooty #AfricanBank #africanqualifiers #africanbulls #africanpowerrefugees #africangirls #africanukrainian #africanpower #africancurves #africanxt #africansinpoland https://t.co/JVDnTJdxkK
