id,text
1507754855875891206,"ਵਕਤ ਰਹਿੰਦੇ ਰੋਕ ਲੈਣਾਂ ਸੀ ਉਸਨੂੰ, ਪਰ ਨਾਂ ਹਾਲਾਤਾਂ ਨੇ ਸਾਥ ਦਿੱਤਾ ਨਾਂ ਉਸਨੇ ਇਜਾਜਤ ।।
#sumystudents #Sumy #savestudentsinukraine #savesumystudents #saveindiansinukraine"
1507742983382253574,"#savesumystudents reflect on life post-evacuation from Ukraine. I cannot even imagine how the Kherson students are feeling after a month of being trapped in a Russian-occupied war zone. they need a humanitarian corridor #evacuatekherson #savekhersonstudents

Edit: @/rapphi on IG. https://t.co/zDcSlm9FAH"
1507552831665963017,"ਜਿੰਦਗੀ ਨੇ ਵਿਛੋੜੇ ਦੀ ਪੇਸ਼ਕਸ਼ ਕੀਤੀ, ਤੇ ਤੇਰੀਆਂ ਯਾਦਾਂ ਨੇ ਮੌਤ ਦੀ.,ਅਸੀਂ ਮੌਤ ਨੂੰ ਚੁਣਿਆ,ਵਿਛੋੜੇ ਦੀ ਜਿੰਦਗੀ ਨਾਲ ਸਮਝੌਤਾ ਕਰਨਾ ਸਾਡੇ ਵੱਸ ਵਿੱਚ ਨਹੀਂ .....
#Sumy #sumystudents #savesumystudents #saveindiansinukraine #saveindianstudents #sumystateuniversity #SaveUkrainianKids"
1507208767741517830,RT @Chizzy8: @3sarkar @MetroUK After this UKR will hardly have any international students. People have learnt their lessons. Meanwhile inte…
1507022164716924930,"RT @BayouBeatNews: Three Black women are taking the #AfricansinUkraine crisis into their own hands. Read more here.
https://t.co/WewwVnqbHs…"
1506507030927867905,RT @RGA: #BlackInUkraine #BlackWomenForBlackLives #BW4BL #AfricanInUkraine #SaveSumyStudents #BringThemHome #BIU (4/4) https://t.co/3yZtllD…
1506506918130376704,"RT @BayouBeatNews: Three Black women are taking the #AfricansinUkraine crisis into their own hands. Read more here.
https://t.co/WewwVnqbHs…"
1506504015764353027,#Sumy #sumystudents #savesumystudents #saveindiansinukraine #SaveUkraine https://t.co/LrXq9gu8r4
1506360982137884675,"RT @korrinesky: A message from the students of Sumy: 

#savesumystudents #ceasefiresumy https://t.co/Y6JSzGMy7w"
1506360344423325698,"RT @korrinesky: A message from the students of Sumy: 

#savesumystudents #ceasefiresumy https://t.co/Y6JSzGMy7w"
1506144694568296449,#Sumy #sumystudents #savesumystudents #saveindianstudents #saveindiansinukraine #sumystateuniversity https://t.co/PNKcgSONT7
1506061835006627848,"RT @techylisa: ""Black Women for Black Lives, a new coalition focused on helping Black residents escape Ukraine in the wake of the Russian i…"
1506057685778644992,"RT @techylisa: ""Black Women for Black Lives, a new coalition focused on helping Black residents escape Ukraine in the wake of the Russian i…"
1506057185557729286,"RT @techylisa: ""Black Women for Black Lives, a new coalition focused on helping Black residents escape Ukraine in the wake of the Russian i…"
1506027880941330442,"Black Women for Black Lives, a new coalition focused on helping Black residents escape Ukraine in the wake of the Russian invasion, amplified the students’ pleas to the international community with the hashtag #SaveSumyStudents.

#SeattleMedium
https://t.co/WxIhLMOXUc"
1505993731895611395,"ਦਿਨ ਦੇ ਚਾਨਣ ਵਿੱਚ ਗੁਆਚੇ ਸੀ ਅਸੀਂ, ਰਾਤ ਦੇ ਹਨੇਰੇਆਂ ਚ ਦਿਖਾਂਗੇ ਹੁਣ...
#Sumy #savesumystudents #sumystudents #saveindianstudents #saveindiansinukraine #sumystateuniversity"
1505954108880080904,"RT @iamexcelwayne: Mentally and physically I am exhausted!
I just want to leave!!!
Whoever is seeing this,WE NEED HELP!!!
Lots of Nigerian…"
1505936663532367874,"""Black Women for Black Lives, a new coalition focused on helping Black residents escape Ukraine in the wake of the Russian invasion, amplified the students’ pleas to the international community with the hashtag #SaveSumyStudents."" @pocintech 

https://t.co/BUZPhgAEvj"
1505772050069471233,"ਲੱਖਾਂ ਗੁਨਾਹ ਕਰਕੇ ਵੀ ਵਾਪਸ ਆ ਜਾਵੇ ਉਹ, ਇਸ ਵਾਰ ਤਾਹਨੇਂ ਨਹੀਂ, ਘੁੱਟ ਕੇ ਗਲ ਨਾਲ ਲਾ ਲੈਣਾਂ ਮੈਂ ਉਹਨੂੰ..🥺 #Sumy
#savesumystudents #saveindiansinukraine #saveindianstudents #sumystateuniversity #Ukraine"
1505769214107217920,"ਪੱਲੇ ਪੈ ਗਏ ਰੂਹ ਦੇ ਰੋਣੇ, ਸੌਖੇ ਨਹੀਉਂ ਪਿਆਰ ਨਿਭਾਉਣੇਂ..ਕਰ ਉਮਰਾਂ ਦੇ ਵਾਅਦੇ ਪੱਕੇ,ਔਖੇ ਹੋ ਗਏ ਇਸ਼ਕ ਕਮਾਉਣੇਂ ...#Sumy #savesumystudents #saveindianstudents #saveindiansinukraine #sumystateuniversity"
1505608529461202944,"ਗੱਲਾਂ ਬਹੁਤ ਤੇਰੇ ਨਾਲ ਜੋ ਕਰਨੀਆਂ ਨੇ ..ਕੁਝ ਤੇਰੇ ਦੁੱਖ ਸੁਣਨੇ, ਕੁਝ ਪੀੜਾਂ ਮੈਂ ਬਿਆਨ ਕਰਨੀਆਂ ਨੇ..#Sumy #sumystudents #savesumystudents #saveindianstudents #saveindiansinukraine #SaveUkraine https://t.co/NzgIqCyXn4"
1505487851831582724,"RT @teenashka: Over 500 students are stuck in Sumy! In the middle of a war. They have no way out. They’re hiding in bomb shelters, holding…"
